All tools belong to their corresponding authors:

Microsploit     Screetsec
POET            mossberg
Weeman          Samyoyo
sb0x-project    lostcitizen
NXcrypt         Hadi999
Nmap            Nmap
XSStrike        UltimateHackers
doork           AeonDave
Crips           Manisso
wpscan          wpscanteam
SEToolkit       trustedsec
cupp            Mebus
BruteX          1N3
leviathan       tearsecurity
sslstrip        arnolix
sqlmap          sqlmapproject
slowloris       gkbrk
pwnloris        h0ussni
ATSCAN          AlisamTechnology
hyde            hyde
nikto           sullo
rapidscan       skavngr
Autopiciewps    nxxxu
SNMP-Brute      SECFORCE
revsh           emptymonkey
arachni         arachni
openssl         openssl
